source,corruption_rate,roundtrip,edit_similarity,chrf
이것은 간단한 문장입니다.,0.02,이것은 간단한 문장입니⠈.,0.928571,0.834003
이것은 간단한 문장입니다.,0.05,이것은 간단한 문자⠦입니다.,0.866667,0.672767
이것은 간단한 문장입니다.,0.10,이것은 간단한 문장이카니⠈.,0.800000,0.656573
오늘 날씨가 참 좋습니다.,0.02,오늘 칼씨가 참 좋습니다.,0.928571,0.719441
오늘 날씨가 참 좋습니다.,0.05,오늘 날씨가 참 좋습낮다.,0.928571,0.769777
오늘 날씨가 참 좋습니다.,0.10,오느 날⠠-이가 참 좋습니다.,0.750000,0.583736
NaCl,0.02,NaDl,0.750000,0.270833
NaCl,0.05,NaCp,0.750000,0.479167
NaCl,0.10,⠴샥⠠나사.,0.000000,0.000000
자세한 내용은 02-555-1234로 전화해 주세요.,0.02,자세한 내용은 02-555-1234로 절화해 주세요.,0.965517,0.863189
자세한 내용은 02-555-1234로 전화해 주세요.,0.05,자세반 내용은 02-555-1234로 전화해 주세요.,0.965517,0.903765
자세한 내용은 02-555-1234로 전화해 주세요.,0.10,"자세한 내용은 02-555-1234,- 전의와운애 주세요.",0.812500,0.713007
HTTP 상태 코드 404,0.02,HTTP 상태 코듸 404,0.928571,0.684256
HTTP 상태 코드 404,0.05,HTTP 상태 코드 언파하파,0.733333,0.720462
HTTP 상태 코드 404,0.10,⠴셜설설숴. 상태 코드 4바파,0.500000,0.450734
A36,0.02,A야나카,0.250000,0.104167
A36,0.05,⠴⠰⠁36,0.400000,0.335546
A36,0.10,A66,0.666667,0.222222
1단계: 밸브를 연다.,0.02,"1 단계,⠒ 밸브를 연다.",0.785714,0.596656
1단계: 밸브를 연다.,0.05,1 단계: 밸브를 연카.,0.846154,0.686652
1단계: 밸브를 연다.,0.10,1 단계: 밸브르 연다.,0.846154,0.503640
401B호는 4층에 있습니다.,0.02,401B호는 4층에 있습니카.,0.937500,0.859830
401B호는 4층에 있습니다.,0.05,401B호근 4층에 있습니다.,0.937500,0.720011
401B호는 4층에 있습니다.,0.10,401B열호근 4층에 있습니다.,0.882353,0.660661
"x 제곱이 4라면, x는 2 또는 마이너스 2입니다.",0.02,"x 제곱이 4라면, x는 2 또는 마이너스 욉입니다.",0.965517,0.870133
"x 제곱이 4라면, x는 2 또는 마이너스 2입니다.",0.05,"x 제곱이 4라면, x녀 2 따-는 마이너스 2입니다.",0.900000,0.741373
"x 제곱이 4라면, x는 2 또는 마이너스 2입니다.",0.10,"x⠢ 제봅이 4라면, x는 ⠂ 또는 맏너스 2입니다.",0.827586,0.567047
이 CPU는 64비트 명령어 집합 아키텍처를 사용합니다.,0.02,이 CPU는 64비트 명령어 집합 아키텍처를 와용합니다.,0.967742,0.873136
이 CPU는 64비트 명령어 집합 아키텍처를 사용합니다.,0.05,이 CLU는 64비트 명령어 집합 아키틴⠁처를 사용합니다.,0.906250,0.759960
이 CPU는 64비트 명령어 집합 아키텍처를 사용합니다.,0.10,이 ⠴연나숴소.는 64비열으 명령어 지사합 아캊텍처를 사용합니다.,0.694444,0.462775
매뉴얼에 따르면 -- 42쪽 -- 한도는 500개입니다.,0.02,매뉴얼에 따르면 -- 42쪽 -- 한도논 500개입니다.,0.967742,0.873136
매뉴얼에 따르면 -- 42쪽 -- 한도는 500개입니다.,0.05,매뉴얼에 따르면 -- 42쪽 -- 한다-는 500개입내다.,0.906250,0.778359
매뉴얼에 따르면 -- 42쪽 -- 한도는 500개입니다.,0.10,매뉴얼에 따르면 -- 4⠂쪽 -요 한도뇌 500개앱니다.,0.870968,0.549524
"회의실은 B-102호, 비상연락처는 031-222-3333이다.",0.02,"회의실은 B-102 호, 비상연락처는 031-222-3333이다.",0.972222,0.914465
"회의실은 B-102호, 비상연락처는 031-222-3333이다.",0.05,"회의실은 B-102 호, 비상연락처는 031-222'나나나니다.",0.800000,0.687678
"회의실은 B-102호, 비상연락처는 031-222-3333이다.",0.10,"회의실은 B-언⠁합 호, ⠸이상연락처는 031-262-3333이다.",0.810811,0.614993
제품코드 ABC-123X와 로트번호 2026-04-16-7을 기록했다.,0.02,제품코드 A⠢⠃⠠나-123X와 로트번호 2026-04-16-7을 기록했다.,0.902439,0.864774
제품코드 ABC-123X와 로트번호 2026-04-16-7을 기록했다.,0.05,제품코담 ABCu123X와 로트번호 2026-04-16-7을 기록했다.,0.948718,0.822870
제품코드 ABC-123X와 로트번호 2026-04-16-7을 기록했다.,0.10,제억옥⠢코드 AHC-223X와 로트번호 2026-04욕카-운을 기록했다.,0.775000,0.579520
"온도 범위는 -20°C~5°C, 습도는 35~45%이다.",0.02,"온뎐 범위는 -20°C~5°C, 습도는 35~45%이다.",0.967742,0.934947
"온도 범위는 -20°C~5°C, 습도는 35~45%이다.",0.05,"온도 볨위는 -20°C~5°C, 습도는 35~45%이다.",0.967742,0.892129
"온도 범위는 -20°C~5°C, 습도는 35~45%이다.",0.10,"온도 범위는 -20°C~5°C, 자답도는 35~45%에다.",0.906250,0.778359
"A/B 테스트에서 그룹 A는 52%, 그룹 B는 48%였다.",0.02,"A/B 테스트에서 근웁 A는 52%, 그룹 B는 48%였다.",0.939394,0.848841
"A/B 테스트에서 그룹 A는 52%, 그룹 B는 48%였다.",0.05,"A/B 테스트에서 그룹 A는 엽%, 그,납 B는 48%였다.",0.878788,0.736525
"A/B 테스트에서 그룹 A는 52%, 그룹 B는 48%였다.",0.10,"A/A 테까트에서 그룹 A⠶는 52%, 그룹 B.cz 언파타%였다.",0.756757,0.528320
염화나트륨(NaCl)은 물에 잘 녹는다.,0.02,⠰⠢화나트륨(NaCl)은 물에 잘 녹는다.,0.913043,0.938625
염화나트륨(NaCl)은 물에 잘 녹는다.,0.05,염화나트륨(NaCl)은 물에 잘 눌는다.,0.954545,0.840211
염화나트륨(NaCl)은 물에 잘 녹는다.,0.10,염화나트륨(NaCl)은 몽외 잘 누는다.,0.863636,0.628741
벤젠(C6H6)은 방향족 탄화수소입니다.,0.02,벤젠(C6H6)은 방향족 타.화수소입니다.,0.913043,0.803140
벤젠(C6H6)은 방향족 탄화수소입니다.,0.05,벤젠(C6H6)은 방향족 탄화속소이사니다.,0.869565,0.736889
벤젠(C6H6)은 방향족 탄화수소입니다.,0.10,벤겐(C6H6)외 방향족 ⠃⠒화수소입피다.,0.782609,0.400840
"f(x) = 2x + 1일 때, f(3)을 구하시오.",0.02,"f(x) = 2x + 1일 ⠰대, f(3)을 구하시오.",0.933333,0.856732
"f(x) = 2x + 1일 때, f(3)을 구하시오.",0.05,"f(x) = 2x + 1인 때, f(3)을 구하시오.",0.965517,0.863189
"f(x) = 2x + 1일 때, f(3)을 구하시오.",0.10,"f(x) = 2옥. + 1일 때, i⠶'3)을 구하시오.",0.838710,0.678349
중합효소 연쇄 반응(PCR)은 DNA 조각을 증폭합니다.,0.02,중합효소 쐐 반응(PCR)은 DNA 조각을 증폭합니다.,0.935484,0.843835
중합효소 연쇄 반응(PCR)은 DNA 조각을 증폭합니다.,0.05,으웅합효소 연쇄 반응(PCR)은 DNA 조각을 증폭합니다.,0.937500,0.958040
중합효소 연쇄 반응(PCR)은 DNA 조각을 증폭합니다.,0.10,자낭합횸오 연쇄 반응(PC⠠!)은 ⠴자파세⠠⠁. 조각을 증폭합니뎔,0.583333,0.477778
컴파일러는 구문 분석 과정에서 추상 구문 트리(AST)를 생성합니다.,0.02,컴파일러는 구문 분석 과정에서 추상 구문 트리(AST)믈 생성합니다.,0.973684,0.898856
컴파일러는 구문 분석 과정에서 추상 구문 트리(AST)를 생성합니다.,0.05,컴파일러는 구문 분석 과정에서 춰사언 구문 트리(BST)를 생성합니다.,0.897436,0.765185
컴파일러는 구문 분석 과정에서 추상 구문 트리(AST)를 생성합니다.,0.10,컴팓⠃러는 구문 야운석 과정에서 추상 부문 트리(AST⠠-런 생성합니다.,0.800000,0.581540
pH 7.4에서 NaCl(0.9%) 용액을 37°C로 유지한다.,0.02,pH 7.페서 NaCl(0.9%) 용액을 37°C로 유지읜다.,0.914286,0.785060
pH 7.4에서 NaCl(0.9%) 용액을 37°C로 유지한다.,0.05,pH 7.페서 NaCl(0.9%⠠⠔ 용액을 군°C로 유지한다.,0.828571,0.609698
pH 7.4에서 NaCl(0.9%) 용액을 37°C로 유지한다.,0.10,⠶워⠠타. 7.페-어 NaCl(0.9%) 욬액을 37°C록 유지한다.,0.736842,0.550732
“AST(추상 구문 트리)”는 컴파일러에서 중요하다.,0.02,“AST⠦예추상 구문 트리)”는 컴파일러에서 중요하다.,0.933333,0.863619
“AST(추상 구문 트리)”는 컴파일러에서 중요하다.,0.05,“AST(추상 구문 트리)”는 컴파일러에서 중-하담,0.896552,0.860687
“AST(추상 구문 트리)”는 컴파일러에서 중요하다.,0.10,“AST(추상 게마타 트리)”는 컴나일럴에서 중요하다.,0.833333,0.613871
별표(*)와 괄호(예: NaCl)를 함께 쓴다.,0.02,별표(*)와 예왈호(예: NaCl)를 함께 쓴다.,0.925926,0.837825
별표(*)와 괄호(예: NaCl)를 함께 쓴다.,0.05,"별표(*)와 괄호(예: NaCr),? 함께 쓴다.",0.888889,0.759356
별표(*)와 괄호(예: NaCl)를 함께 쓴다.,0.10,별표(*)? 괄호(예: ⠴연엡⠠⠈사)를 함께 쓴다.,0.750000,0.552311
인용문: “PCR(중합효소 연쇄 반응)은 DNA를 증폭한다.”,0.02,인용문: “PCR(중합효소 연쇄 반응)은 DNA를 증풀한다.”,0.970588,0.891353
인용문: “PCR(중합효소 연쇄 반응)은 DNA를 증폭한다.”,0.05,"인용문,⠆ “PCR(중합효소 연쇄 반을⠶)은 DNA를 증폭한다.”",0.888889,0.778418
인용문: “PCR(중합효소 연쇄 반응)은 DNA를 증폭한다.”,0.10,"인용문,⠒ “PCR(줗합효-오 유쇄 반응)은 DNA츨 증폭한다.”",0.805556,0.527836
정말 확실해?,0.02,정말 혼⠁실해?,0.750000,0.310537
정말 확실해?,0.05,정말 얼왁실해?,0.750000,0.310537
정말 확실해?,0.10,정말 운왁실해?,0.750000,0.310537
"소위 ""모범 사례""가 항상 최선은 아니다.",0.02,"소위 ""맞범 사례""가 항상 최선은 아니다.",0.956522,0.830303
"소위 ""모범 사례""가 항상 최선은 아니다.",0.05,"소위 ""면범 사례""가 항상 최선은 아니다.",0.956522,0.830303
"소위 ""모범 사례""가 항상 최선은 아니다.",0.10,"소위 ""모범 사례""가 읭상 최선은 아우이다.",0.875000,0.689088
"그는 속삭였다. ""정말 확실해?""",0.02,그는 속삭였다. ⠦⠸영말 확실해⠦?,0.736842,0.565173
"그는 속삭였다. ""정말 확실해?""",0.05,"그는 속삭였다. ""정마다 확실해?""",0.894737,0.749408
"그는 속삭였다. ""정말 확실해?""",0.10,"그는 숯⠁였다. ""정말 확실해?""",0.888889,0.731221
