id,clean_en,noisy_en,noise_type,corrected_en
bf_001,New technology has been introduced to society.,Ew techolgy hasbeen introduced to soniety.,braille_corruption,
bf_002,One possible outcome is that an environmentally-induced reduction in motorization levels in richer countries will outweigh any rise in motorization levels in poorer countries.,One possible outc'me is that an environmentally-induced redction in motorization levels in richer countrie wl@ outweigh any rise in motorizationalevels ; poorer coultyies.,braille_corruption,
bf_003,"Every person needs to know a bit about math, science, art, literature and history in order to stand out in society.","Every person needs to know a bit aboutmath, science, art, iteratre and history in order tostand out in socity.",braille_corruption,
bf_004,"While the travel company will most likely show them some interesting sites in order for their customers to advertise for their company to their family and friends, it is highly unlikely that the company will tell about the sites that were not included in the tour -- for example due to entrance fees that would make the total package price overly expensive.","While the travel compny will most likely show hem some interestingsites in orer for qheir customers to advertise for their comany to their family and friends, it is hi+hlybunikely that thecompany will tell about the sites that were nt includd in the tour -- for example due to enrance fees thyt would make the total package pri-e overly expensive.",braille_corruption,
bf_005,A disadvantage is that parking their cars is very difficult.,A disad(anage s that parking their cfrs is very difficult.,braille_corruption,
bf_006,Bigger farming is using more chemical products and substances to feed fish.,Bigger farming is using more chemical products1nd sub?tances to feed fish.,braille_corruption,
bf_007,"For example, my cousin is 12 years old.","F@r example, yxcousin is 12 yars old.",braille_corruption,
bf_008,"If it does, you will only get some misunderstood idea about that article but not the original one.","If it does, you ?ill only get s?!e misunderstood idea about tat articl but not the original one.",braille_corruption,
bf_009,"Secondly, chimps are also capable of learning grammar, meaning they can demonstrate the ability to combine words and utilize grammatical constructions.","S&condly, chimps ar? also capabe of lrninz grammar"" meaning they can demonstrate the ability to combine words and utilize gammaticl congtructions.",braille_corruption,
bf_010,"Nevertheless, this city is going through a big change.",inevertheless. jhis cty is goi?g through a big change.,braille_corruption,
bf_011,"I think to learn facts is only evidence if the students can work hard and if they are able to keep every detailed information taught, but it 's definitely not evidence of their intelligence.","I think to learn facts is only evi&ence if the students can work hard and if they are able to keep every detaile$ informat!on taught, but it 's definitely not evi&nceof their inelligencez",braille_corruption,
bf_012,"Unfortunately, in spite of its benefits, many older people can not use the Internet.","Unfortunaely, in spt: o its be$efits, manydolder ?eo?le can not use the Internet.",braille_corruption,
bf_013,"So, if I have a lot of information about this subject, I will talk a lot with knowledge but if I have general information for this subject, I will talk about this subject with my limited knowledge and this case may make me shameful like when my brother asked me about some thing but I did not have a lot of information about this thing.","So? if I @ave h lot of information about this subject, I wll talk a lot with knowlepge but if I have generbl inforuation for this subject, :i will talk about -his subject with my limited knoeledge and this cae may make meyshamefsl like when my brother asked me about some thini but I did not""have a lot of fnfor!ati.n abo""t this thing.",braille_corruption,
bf_014,"Because if I see someone did something that may save me time and energy and it works, I will do it.","Because if I see someoe did something that may save me time and energy ?ndi works, I will do it.",braille_corruption,
bf_015,The government should think about all nature.,The government shoulz think abo?t aul nature.,braille_corruption,
bf_016,They will not be able to compete with other similar brands and the product will fizzle out or die.,They wil+ not be able to compete with other simlar brands and the product will fizzle out or die.,braille_corruption,
bf_017,People are now opening their eyes to the scenario when we would run out of fuel.,",'eop e ar now opnng heir eyes to the scenarioawhen we would run outof fuel.",braille_corruption,
bf_018,"For me, it was great because I need to talk on the phone locally and nationally for long periods of time.","For me, it was great because I need to talk on thephone locally and natioally for long periods of time",braille_corruption,
bf_019,They only care if the effects are good and popular among the crowds.,They only care if the!effects are good and popular among the crows.,braille_corruption,
bf_020,"That is why calculated risks, as one could call them, are the predecessors of big success, because they get people 's attention by giving people new options.","That is why calcuated risks, as one could call them, are the predecessors of>big success,?because they get people+'s attention <y giving people new opions.",braille_corruption,
bf_021,"He said in other words that the more fluoride may create damage in the human body, specifically the bone.","He said in ot/erwords that the mvre fluorid may create damage in the human body, speifically the boe.",braille_corruption,
bf_022,"When these people create their new ideas, others often look very strange to them.","When thee people create their new idea!, others oftenlook very strangeato them.",braille_corruption,
bf_023,You will learn to socialize with people.,You will learn to scialize withpeople,braille_corruption,
bf_024,"No other transportation concept has been as successful as the car, not only because they can go on the street and highway system throughout the United States and Europe, but because of the fact that people love their cars.","No oth:r transportation concept has been as succe%sful""as?the car, not only because t(eycan goqon the stree and higwy system throughout the United Stales nd Eurpe, but because of the fact that p.ople love their cars.",braille_corruption,
bf_025,"If they prefer to choose cars than motor bikes, that means there will be many cars.","if they prefer to choose caro t?an motor)bikes, hat means there will be many cars.",braille_corruption,
bf_026,That 's why he is a legend in these days and people respect him.,That 's why he is a legend in these days and peopl< respec hm.,braille_corruption,
bf_027,"In math club for example, teachers usually show how to solve a math problem in different ways.",In math club for exampleTeachers usu&lly show hg to slv a ath problem in different ways.,braille_corruption,
bf_028,"On the other hand, when I was a freshman at my college, I could concentrate on my favorite subjects.","On the other ?and, when I was a freshman ac my college, I coul? concentratedon myavorite uubjects.",braille_corruption,
bf_029,I have an IBM desktop computer and my laptop is a Dell.,I hve n IBM mektop computer and my laptop?is aDell.,braille_corruption,
bf_030,Air in China is not so clean because of cars.,Air in!China i not so clean because of cars.,braille_corruption,
bf_031,"When price of gas goes up, the consumers do not want buy gas for fuel.","When pric of gas goes up, th consumers do not wan  uy gas for fuel.",braille_corruption,
bf_032,"Although learning more subjects gives us huge knowledge, which will make me successful in my study.","Altough learning more spbjects (ives us huge knowledge, which will make me successfulin my study?",braille_corruption,
bf_033,"When you 're making a tour guide trip, you already have everything settled from the time you 're departing, to the time you arrive.","When you 're makng a tour guide trip, you alre""dy have everything setled from the time ?ou 're departing, totc, time yu arrive.",braille_corruption,
bf_034,"On the other hand, although in Turkey the public transportation is developing, especially in the two big cities, that is, Ankara and istanbul, it is still nothing compared to Sweden.","On the other hand, althogh in Turkey the public transportation isdeveloping, especiallyi? t*e two big cities, that is, Ankjra an% istanbul, it is stil nothing compared to Sweden.",braille_corruption,
bf_035,This rebuffs the reading passage 's claim that there is no improvement.,This rebuffs the readig passage 's clim that there is no impoement.,braille_corruption,
bf_036,"As they are involved with study, they do not get enough time to look after their community.",As they are involved with stud:They do:not g!t enounh time to lok after ther community.,braille_corruption,
bf_037,"However, I strongly maintain that traveling by their own has a lot of advantages.","However, I strongly maintain that traveling y their own has a +ot of avantages.",braille_corruption,
bf_038,They even ask themselves how these kinds of things did n't cross their minds.,They even ask themselves how these kinds f things did n't cross their minds.,braille_corruption,
bf_039,"People tend to choose other medias, and that is why literature is in danger.","Peple tend t choose othermedias, and that is why lteraureis n danger.",braille_corruption,
bf_040,I doubt that twenty years is too short of a time to prove the problem.,I doubt that twen? years is too sho.t of a time wo prove the proglem,braille_corruption,
bf_041,"So, for these reasons, I really believe that it 's important to have broad knowledge on different subjects instead of being focused on just one, because sometimes we can easily find the answer that we are searching for in a field that can seem unrelated to our purpose.","So, for these reasons, I rall? believe that it 's important to hav"" mroad knowledge on differect subjects instead of being focused on just-ne, becuse somxtimes we can easil; ?ind the nswhr that we are searching for in a field that can seem unrelated to our purpose.",braille_corruption,
bf_042,I am pleased to know intelligent people and learn about things which I do n't know.,I am pleased to know invelligent peopl and learn about things which I do n't know.,braille_corruption,
bf_043,"To solve this problem, city governments are likely to improve public transportation systems by building new subway systems and adding more bus lines.",To solve this problemAcity governments are likmlyqto impuove public transporation systems by buioding new subway systms and addin:+'ore zus lines.,braille_corruption,
bf_044,I know lots of old people who go to parties and stay in contact with other people.,","" know lots offold people who go tparties ad stayin cntact with other people.",braille_corruption,
bf_045,"But these things seem too hard for old people, they move so difficultly, and do n't have a healthy body to play things like sports.","Bu; these th""ngs seemdto hard for old peole, tvy move so difficultly, abd d? n't have a healthy body to play things like sports.",braille_corruption,
bf_046,"For example, if you understand the idea that all diseases, caused by micro organisms, are treated with antibiotics, you will never use antidepressants.","For example, if you understand the idea that all diseases cau(ed by micro organsms, are treated with antibiotics, you will nev$ruse antidepressants",braille_corruption,
