code,ko_text,ko_braille,braille_chars,frequency
P201,사용 전 취급 설명서를 확보하시오.,⠴⠠⠏⠼⠃⠚⠁⠀⠐⠂⠀⠠⠣⠛⠬⠶⠀⠨⠎⠒⠀⠰⠍⠗⠈⠪⠃⠀⠠⠎⠂⠑⠱⠶⠠⠎⠐⠪⠂⠀⠚⠧⠁⠘⠥⠚⠣⠠⠕⠛⠥⠲,52,2905
P202,모든 안전 예방조치 문구를 읽고 이해하기 전에는 취급하지 마시오.,⠴⠠⠏⠼⠃⠚⠃⠀⠐⠂⠀⠑⠥⠊⠪⠒⠀⠛⠣⠒⠨⠎⠒⠀⠛⠌⠘⠣⠶⠨⠥⠰⠕⠀⠑⠍⠒⠈⠍⠐⠪⠂⠀⠛⠕⠂⠁⠈⠥⠀⠛⠕⠚⠗⠚⠣⠈⠕⠀⠨⠎⠒⠛⠝⠉⠪⠒⠀⠰⠍⠗⠈⠪⠃⠚⠣⠨⠕⠀⠑⠣⠠⠕⠛⠥⠲,86,2893
P210,"열,고온의 표면,스파크,화염 및 그 밖의 점화원으로부터 멀리하시오.금연",⠴⠠⠏⠼⠃⠁⠚⠀⠐⠂⠀⠛⠱⠂⠐⠈⠥⠛⠥⠒⠛⠺⠀⠙⠬⠑⠱⠒⠐⠠⠪⠙⠣⠋⠪⠐⠚⠧⠛⠱⠢⠀⠑⠕⠆⠀⠈⠪⠀⠘⠣⠁⠁⠛⠺⠀⠨⠎⠢⠚⠧⠛⠏⠒⠛⠪⠐⠥⠘⠍⠓⠎⠀⠑⠎⠂⠐⠕⠚⠣⠠⠕⠛⠥⠲⠈⠪⠢⠛⠱⠒,91,2390
P211,화염 또는 그 밖의 점화원에 분사하지 마시오.,⠴⠠⠏⠼⠃⠁⠁⠀⠐⠂⠀⠚⠧⠛⠱⠢⠀⠠⠊⠥⠉⠪⠒⠀⠈⠪⠀⠘⠣⠁⠁⠛⠺⠀⠨⠎⠢⠚⠧⠛⠏⠒⠛⠝⠀⠘⠍⠒⠠⠣⠚⠣⠨⠕⠀⠑⠣⠠⠕⠛⠥⠲,62,2
P220,의류 및 그 밖의 가연성 물질로부터 멀리하시오.,⠴⠠⠏⠼⠃⠃⠚⠀⠐⠂⠀⠛⠺⠐⠩⠀⠑⠕⠆⠀⠈⠪⠀⠘⠣⠁⠁⠛⠺⠀⠈⠣⠛⠱⠒⠠⠎⠶⠀⠑⠍⠂⠨⠕⠂⠐⠥⠘⠍⠓⠎⠀⠑⠎⠂⠐⠕⠚⠣⠠⠕⠛⠥⠲,64,198
P222,공기에 접촉시키지 마시오.,⠴⠠⠏⠼⠃⠃⠃⠀⠐⠂⠀⠈⠥⠶⠈⠕⠛⠝⠀⠨⠎⠃⠰⠥⠁⠠⠕⠋⠕⠨⠕⠀⠑⠣⠠⠕⠛⠥⠲,39,47
P223,물에 접촉시키지 마시오.,⠴⠠⠏⠼⠃⠃⠉⠀⠐⠂⠀⠑⠍⠂⠛⠝⠀⠨⠎⠃⠰⠥⠁⠠⠕⠋⠕⠨⠕⠀⠑⠣⠠⠕⠛⠥⠲,37,81
P230,…(으)로 젖은 상태를 유지하시오.,⠴⠠⠏⠼⠃⠉⠚⠀⠐⠂⠀…⠤⠛⠪⠤⠐⠥⠀⠨⠎⠅⠛⠪⠒⠀⠠⠣⠶⠓⠗⠐⠪⠂⠀⠛⠩⠨⠕⠚⠣⠠⠕⠛⠥⠲,46,62
P231+P232,불활성 기체/…하에서 취급 및 저장하시오. 습기를 방지하시오.,⠴⠠⠏⠼⠃⠉⠁+⠴⠠⠏⠼⠃⠉⠃⠀⠐⠂⠀⠘⠍⠂⠚⠧⠂⠠⠎⠶⠀⠈⠕⠰⠝/…⠚⠣⠛⠝⠠⠎⠀⠰⠍⠗⠈⠪⠃⠀⠑⠕⠆⠀⠨⠎⠨⠣⠶⠚⠣⠠⠕⠛⠥⠲⠀⠠⠪⠃⠈⠕⠐⠪⠂⠀⠘⠣⠶⠨⠕⠚⠣⠠⠕⠛⠥⠲,87,115
P233,용기를 단단히 밀폐하시오.,⠴⠠⠏⠼⠃⠉⠉⠀⠐⠂⠀⠛⠬⠶⠈⠕⠐⠪⠂⠀⠊⠣⠒⠊⠣⠒⠚⠕⠀⠑⠕⠂⠙⠌⠚⠣⠠⠕⠛⠥⠲,41,1562
P234,원래의 용기에만 보관하시오.,⠴⠠⠏⠼⠃⠉⠙⠀⠐⠂⠀⠛⠏⠒⠐⠗⠛⠺⠀⠛⠬⠶⠈⠕⠛⠝⠑⠣⠒⠀⠘⠥⠈⠧⠒⠚⠣⠠⠕⠛⠥⠲,42,441
P235,저온으로 유지하시오.,⠴⠠⠏⠼⠃⠉⠑⠀⠐⠂⠀⠨⠎⠛⠥⠒⠛⠪⠐⠥⠀⠛⠩⠨⠕⠚⠣⠠⠕⠛⠥⠲,32,115
P240,용기와 수용설비를 접지하시오.,⠴⠠⠏⠼⠃⠙⠚⠀⠐⠂⠀⠛⠬⠶⠈⠕⠛⠧⠀⠠⠍⠛⠬⠶⠠⠎⠂⠘⠕⠐⠪⠂⠀⠨⠎⠃⠨⠕⠚⠣⠠⠕⠛⠥⠲,45,1761
P241,방폭형[전기/환기/조명/…]설비를 사용하시오.,⠴⠠⠏⠼⠃⠙⠁⠀⠐⠂⠀⠘⠣⠶⠙⠥⠁⠚⠱⠶[⠨⠎⠒⠈⠕/⠚⠧⠒⠈⠕/⠨⠥⠑⠱⠶/…]⠠⠎⠂⠘⠕⠐⠪⠂⠀⠠⠣⠛⠬⠶⠚⠣⠠⠕⠛⠥⠲,62,1624
P242,스파크가 발생하지 않는 도구를 사용하시오.,⠴⠠⠏⠼⠃⠙⠃⠀⠐⠂⠀⠠⠪⠙⠣⠋⠪⠈⠣⠀⠘⠣⠂⠠⠗⠶⠚⠣⠨⠕⠀⠛⠣⠒⠴⠉⠪⠒⠀⠊⠥⠈⠍⠐⠪⠂⠀⠠⠣⠛⠬⠶⠚⠣⠠⠕⠛⠥⠲,59,1522
P243,정전기 방지 조치를 취하시오.,⠴⠠⠏⠼⠃⠙⠉⠀⠐⠂⠀⠨⠎⠶⠨⠎⠒⠈⠕⠀⠘⠣⠶⠨⠕⠀⠨⠥⠰⠕⠐⠪⠂⠀⠰⠍⠗⠚⠣⠠⠕⠛⠥⠲,44,1522
P244,밸브 및 관이음쇠에 오일과 그리스가 묻지 않도록 하시오.,⠴⠠⠏⠼⠃⠙⠙⠀⠐⠂⠀⠘⠗⠂⠘⠪⠀⠑⠕⠆⠀⠈⠧⠒⠛⠕⠛⠪⠢⠠⠽⠛⠝⠀⠛⠥⠛⠕⠂⠈⠧⠀⠈⠪⠐⠕⠠⠪⠈⠣⠀⠑⠍⠔⠨⠕⠀⠛⠣⠒⠴⠊⠥⠐⠥⠁⠀⠚⠣⠠⠕⠛⠥⠲,74,15
P250,연마/충격/마찰/…을(를)가하지 마시오.,⠴⠠⠏⠼⠃⠑⠚⠀⠐⠂⠀⠛⠱⠒⠑⠣/⠰⠍⠶⠈⠱⠁/⠑⠣⠰⠣⠂/…⠛⠪⠂⠤⠐⠪⠂⠤⠈⠣⠚⠣⠨⠕⠀⠑⠣⠠⠕⠛⠥⠲,53,72
P251,사용 후에도 구멍을 뚫거나 태우지 마시오.,⠴⠠⠏⠼⠃⠑⠁⠀⠐⠂⠀⠠⠣⠛⠬⠶⠀⠚⠍⠛⠝⠊⠥⠀⠈⠍⠑⠎⠶⠛⠪⠂⠀⠠⠊⠍⠂⠴⠈⠎⠉⠣⠀⠓⠗⠛⠍⠨⠕⠀⠑⠣⠠⠕⠛⠥⠲,57,2
P260,분진/흄/가스/미스트/증기/스프레이를(을)흡입하지 마시오.,⠴⠠⠏⠼⠃⠋⠚⠀⠐⠂⠀⠘⠍⠒⠨⠕⠒/⠚⠩⠢/⠈⠣⠠⠪/⠑⠕⠠⠪⠓⠪/⠨⠪⠶⠈⠕/⠠⠪⠙⠪⠐⠝⠛⠕⠐⠪⠂⠤⠛⠪⠂⠤⠚⠪⠃⠛⠕⠃⠚⠣⠨⠕⠀⠑⠣⠠⠕⠛⠥⠲,74,3016
P261,분진/흄/가스/미스트/증기/스프레이의 흡입을 피하시오.,⠴⠠⠏⠼⠃⠋⠁⠀⠐⠂⠀⠘⠍⠒⠨⠕⠒/⠚⠩⠢/⠈⠣⠠⠪/⠑⠕⠠⠪⠓⠪/⠨⠪⠶⠈⠕/⠠⠪⠙⠪⠐⠝⠛⠕⠛⠺⠀⠚⠪⠃⠛⠕⠃⠛⠪⠂⠀⠙⠕⠚⠣⠠⠕⠛⠥⠲,70,3841
P262,"눈,피부,의류에 묻지 않도록 하시오.",⠴⠠⠏⠼⠃⠋⠃⠀⠐⠂⠀⠉⠍⠒⠐⠙⠕⠘⠍⠐⠛⠺⠐⠩⠛⠝⠀⠑⠍⠔⠨⠕⠀⠛⠣⠒⠴⠊⠥⠐⠥⠁⠀⠚⠣⠠⠕⠛⠥⠲,50,314
P263,임신 및 수유 기간에는 접촉하지 마시오.,⠴⠠⠏⠼⠃⠋⠉⠀⠐⠂⠀⠛⠕⠢⠠⠕⠒⠀⠑⠕⠆⠀⠠⠍⠛⠩⠀⠈⠕⠈⠣⠒⠛⠝⠉⠪⠒⠀⠨⠎⠃⠰⠥⠁⠚⠣⠨⠕⠀⠑⠣⠠⠕⠛⠥⠲,56,72
P264,취급 후에는…을(를)철저히 씻으시오.,⠴⠠⠏⠼⠃⠋⠙⠀⠐⠂⠀⠰⠍⠗⠈⠪⠃⠀⠚⠍⠛⠝⠉⠪⠒…⠛⠪⠂⠤⠐⠪⠂⠤⠰⠎⠂⠨⠎⠚⠕⠀⠠⠠⠕⠄⠛⠪⠠⠕⠛⠥⠲,53,8703
P270,"이 제품을 사용할 때에는 먹거나,마시거나 흡연하지 마시오.",⠴⠠⠏⠼⠃⠛⠚⠀⠐⠂⠀⠛⠕⠀⠨⠝⠙⠍⠢⠛⠪⠂⠀⠠⠣⠛⠬⠶⠚⠣⠂⠀⠠⠊⠗⠛⠝⠉⠪⠒⠀⠑⠎⠁⠈⠎⠉⠣⠐⠑⠣⠠⠕⠈⠎⠉⠣⠀⠚⠪⠃⠛⠱⠒⠚⠣⠨⠕⠀⠑⠣⠠⠕⠛⠥⠲,76,4321
P271,옥외 또는 환기가 잘 되는 곳에서만 취급하시오.,⠴⠠⠏⠼⠃⠛⠁⠀⠐⠂⠀⠛⠥⠁⠛⠽⠀⠠⠊⠥⠉⠪⠒⠀⠚⠧⠒⠈⠕⠈⠣⠀⠨⠣⠂⠀⠊⠽⠉⠪⠒⠀⠈⠥⠄⠛⠝⠠⠎⠑⠣⠒⠀⠰⠍⠗⠈⠪⠃⠚⠣⠠⠕⠛⠥⠲,66,3359
P272,작업장 밖으로 오염된 의류를 반출하지 마시오.,⠴⠠⠏⠼⠃⠛⠃⠀⠐⠂⠀⠨⠣⠁⠛⠎⠃⠨⠣⠶⠀⠘⠣⠁⠁⠛⠪⠐⠥⠀⠛⠥⠛⠱⠢⠊⠽⠒⠀⠛⠺⠐⠩⠐⠪⠂⠀⠘⠣⠒⠰⠍⠂⠚⠣⠨⠕⠀⠑⠣⠠⠕⠛⠥⠲,65,1364
P273,환경으로 배출하지 마시오.,⠴⠠⠏⠼⠃⠛⠉⠀⠐⠂⠀⠚⠧⠒⠈⠱⠶⠛⠪⠐⠥⠀⠘⠗⠰⠍⠂⠚⠣⠨⠕⠀⠑⠣⠠⠕⠛⠥⠲,39,7260
P280,보호장갑/보호의/보안경/안면보호구를(을)착용하시오.,⠴⠠⠏⠼⠃⠓⠚⠀⠐⠂⠀⠘⠥⠚⠥⠨⠣⠶⠈⠣⠃/⠘⠥⠚⠥⠛⠺/⠘⠥⠛⠣⠒⠈⠱⠶/⠛⠣⠒⠑⠱⠒⠘⠥⠚⠥⠈⠍⠐⠪⠂⠤⠛⠪⠂⠤⠰⠣⠁⠛⠬⠶⠚⠣⠠⠕⠛⠥⠲,71,9697
P283,방화복 또는 방염복을 입으시오,⠴⠠⠏⠼⠃⠓⠉⠀⠐⠂⠀⠘⠣⠶⠚⠧⠘⠥⠁⠀⠠⠊⠥⠉⠪⠒⠀⠘⠣⠶⠛⠱⠢⠘⠥⠁⠛⠪⠂⠀⠛⠕⠃⠛⠪⠠⠕⠛⠥,49,28
P284,[환기가 잘 되지 않는 경우]호흡기 보호구를 착용하시오.,⠴⠠⠏⠼⠃⠓⠙⠀⠐⠂⠀[⠚⠧⠒⠈⠕⠈⠣⠀⠨⠣⠂⠀⠊⠽⠨⠕⠀⠛⠣⠒⠴⠉⠪⠒⠀⠈⠱⠶⠛⠍]⠚⠥⠚⠪⠃⠈⠕⠀⠘⠥⠚⠥⠈⠍⠐⠪⠂⠀⠰⠣⠁⠛⠬⠶⠚⠣⠠⠕⠛⠥⠲,74,821
P301+P310,삼켰다면:즉시 의료기관/의사/…의 진찰을 받으시오.,⠴⠠⠏⠼⠉⠚⠁+⠴⠠⠏⠼⠉⠁⠚⠀⠐⠂⠀⠠⠣⠢⠋⠱⠌⠊⠣⠑⠱⠒⠐⠂⠨⠪⠁⠠⠕⠀⠛⠺⠐⠬⠈⠕⠈⠧⠒/⠛⠺⠠⠣/…⠛⠺⠀⠨⠕⠒⠰⠣⠂⠛⠪⠂⠀⠘⠣⠔⠛⠪⠠⠕⠛⠥⠲,77,1832
P301+P312,삼켰다면:불편함을 느끼면 의료기관/의사/…의 진찰을 받으시오.,⠴⠠⠏⠼⠉⠚⠁+⠴⠠⠏⠼⠉⠁⠃⠀⠐⠂⠀⠠⠣⠢⠋⠱⠌⠊⠣⠑⠱⠒⠐⠂⠘⠍⠂⠙⠱⠒⠚⠣⠢⠛⠪⠂⠀⠉⠪⠠⠈⠕⠑⠱⠒⠀⠛⠺⠐⠬⠈⠕⠈⠧⠒/⠛⠺⠠⠣/…⠛⠺⠀⠨⠕⠒⠰⠣⠂⠛⠪⠂⠀⠘⠣⠔⠛⠪⠠⠕⠛⠥⠲,93,2278
P301+P330+P331,삼켰다면:입을 씻어내시오.토하게 하지 마시오.,⠴⠠⠏⠼⠉⠚⠁+⠴⠠⠏⠼⠉⠉⠚+⠴⠠⠏⠼⠉⠉⠁⠀⠐⠂⠀⠠⠣⠢⠋⠱⠌⠊⠣⠑⠱⠒⠐⠂⠛⠕⠃⠛⠪⠂⠀⠠⠠⠕⠄⠛⠎⠉⠗⠠⠕⠛⠥⠲⠓⠥⠚⠣⠈⠝⠀⠚⠣⠨⠕⠀⠑⠣⠠⠕⠛⠥⠲,79,888
P302+P334,피부에 묻으면:차가운 물에 담그시오[또는 젖은 붕대로 감싸시오].,⠴⠠⠏⠼⠉⠚⠃+⠴⠠⠏⠼⠉⠉⠙⠀⠐⠂⠀⠙⠕⠘⠍⠛⠝⠀⠑⠍⠔⠛⠪⠑⠱⠒⠐⠂⠰⠣⠈⠣⠛⠍⠒⠀⠑⠍⠂⠛⠝⠀⠊⠣⠢⠈⠪⠠⠕⠛⠥[⠠⠊⠥⠉⠪⠒⠀⠨⠎⠅⠛⠪⠒⠀⠘⠍⠶⠊⠗⠐⠥⠀⠈⠣⠢⠠⠠⠣⠠⠕⠛⠥]⠲,94,28
P302+P335+P334,피부에 묻으면:피부에 묻은 물질을 털어내시오.차가운 물에 담그시오[또는 젖은 붕대로 감싸시오].,⠴⠠⠏⠼⠉⠚⠃+⠴⠠⠏⠼⠉⠉⠑+⠴⠠⠏⠼⠉⠉⠙⠀⠐⠂⠀⠙⠕⠘⠍⠛⠝⠀⠑⠍⠔⠛⠪⠑⠱⠒⠐⠂⠙⠕⠘⠍⠛⠝⠀⠑⠍⠔⠛⠪⠒⠀⠑⠍⠂⠨⠕⠂⠛⠪⠂⠀⠓⠎⠂⠛⠎⠉⠗⠠⠕⠛⠥⠲⠰⠣⠈⠣⠛⠍⠒⠀⠑⠍⠂⠛⠝⠀⠊⠣⠢⠈⠪⠠⠕⠛⠥[⠠⠊⠥⠉⠪⠒⠀⠨⠎⠅⠛⠪⠒⠀⠘⠍⠶⠊⠗⠐⠥⠀⠈⠣⠢⠠⠠⠣⠠⠕⠛⠥]⠲,138,91
P302+P352,피부에 묻으면:다량의 물/…(으)로 씻으시오.,⠴⠠⠏⠼⠉⠚⠃+⠴⠠⠏⠼⠉⠑⠃⠀⠐⠂⠀⠙⠕⠘⠍⠛⠝⠀⠑⠍⠔⠛⠪⠑⠱⠒⠐⠂⠊⠣⠐⠜⠶⠛⠺⠀⠑⠍⠂/…⠤⠛⠪⠤⠐⠥⠀⠠⠠⠕⠄⠛⠪⠠⠕⠛⠥⠲,67,5074
P303+P361+P353,피부(또는 머리카락)에 묻으면:오염된 모든 의류를 즉시 벗으시오.피부를 물로 씻으시오[또는 샤워하시오].,⠴⠠⠏⠼⠉⠚⠉+⠴⠠⠏⠼⠉⠋⠁+⠴⠠⠏⠼⠉⠑⠉⠀⠐⠂⠀⠙⠕⠘⠍⠤⠠⠊⠥⠉⠪⠒⠀⠑⠎⠐⠕⠋⠣⠐⠣⠁⠤⠛⠝⠀⠑⠍⠔⠛⠪⠑⠱⠒⠐⠂⠛⠥⠛⠱⠢⠊⠽⠒⠀⠑⠥⠊⠪⠒⠀⠛⠺⠐⠩⠐⠪⠂⠀⠨⠪⠁⠠⠕⠀⠘⠎⠄⠛⠪⠠⠕⠛⠥⠲⠙⠕⠘⠍⠐⠪⠂⠀⠑⠍⠂⠐⠥⠀⠠⠠⠕⠄⠛⠪⠠⠕⠛⠥[⠠⠊⠥⠉⠪⠒⠀⠠⠜⠛⠏⠚⠣⠠⠕⠛⠥]⠲,145,2259
P304+P340,흡입하면:신선한 공기가 있는 곳으로 옮기고 호흡하기 쉬운 자세로 안정을 취하시오.,⠴⠠⠏⠼⠉⠚⠙+⠴⠠⠏⠼⠉⠙⠚⠀⠐⠂⠀⠚⠪⠃⠛⠕⠃⠚⠣⠑⠱⠒⠐⠂⠠⠕⠒⠠⠎⠒⠚⠣⠒⠀⠈⠥⠶⠈⠕⠈⠣⠀⠛⠕⠌⠉⠪⠒⠀⠈⠥⠄⠛⠪⠐⠥⠀⠛⠥⠂⠢⠈⠕⠈⠥⠀⠚⠥⠚⠪⠃⠚⠣⠈⠕⠀⠠⠍⠗⠛⠍⠒⠀⠨⠣⠠⠝⠐⠥⠀⠛⠣⠒⠨⠎⠶⠛⠪⠂⠀⠰⠍⠗⠚⠣⠠⠕⠛⠥⠲,118,3977
