run_id,chem_id,section_no,source,roundtrip,edit_similarity,chrf,ok
run-1,043938,15,"산업안전보건법에 의한 규제: 해당없음
화학물질관리법에 의한 규제: 해당없음
화학물질의 등록 및 평가 등에 관한 법률 규제: 기존화학물질
위험물안전관리법에 의한 규제: 4류 제3석유류(비수용성액체) (2000ℓ)
폐기물관리법에 의한 규제: 해당없음
국내규제: 해당없음
기타 국내 규제: 해당없음
미국관리정보(OSHA 규정): 해당없음
미국관리정보(CERCLA 규정): 해당없음
미국관리정보(EPCRA 302 규정): 해당없음
미국관리정보(EPCRA 304 규정): 해당없음
미국관리정보(EPCRA 313 규정): 해당없음
미국관리정보(로테르담협약물질): 해당없음
미국관리정보(스톡홀름협약물질): 해당없음
미국관리정보(몬트리올의정서물질): 해당없음
EU 분류정보(확정분류결과): 해당없음
EU 분류정보(위험문구): 해당없음
EU 분류정보(안전문구): 해당없음","산업안전보건법에 의한 규제: 해당없음
화학물질관리법에 의한 규제: 해당없음
화학물질의 등록 및 평가 등에 관한 법률 규제: 기존화학물질
위험물안전관리법에 의한 규제: 4류 제3석유류(비수용성액체) -2000ℓ-
폐기물관리법에 의한 규제: 해당없음
국내규제: 해당없음
기타 국내 규제: 해당없음
미국관리정보(OSHA 규정): 해당없음
미국관리정보(CERCLA 규정): 해당없음
미국관리정보(EPCRA 302 규정): 해당없음
미국관리정보(EPCRA 304 규정): 해당없음
미국관리정보(EPCRA 313 규정): 해당없음
미국관리정보(로테르담협약물질): 해당없음
미국관리정보(스톡홀름협약물질): 해당없음
미국관리정보(몬트리올의정서물질): 해당없음
EU 분류정보(확정분류결과): 해당없음
EU 분류정보(위험문구): 해당없음
EU 분류정보(안전문구): 해당없음",0.995261,0.983280,False
run-1,008030,14,"유엔번호(UN No.): 3295
적정선적명: 탄화수소류(액체)(HYDROCARBONS, LIQUID, N.O.S.)
운송에서의 위험성 등급: 3
용기등급: Ⅰ
해양오염물질: 자료없음
화재시 비상조치: F-E
유출시 비상조치: S-D","유엔번호(UN No.): 3295
적정선적명: 탄화수소류(액체--HYDROCARBONS, LIQUID, N.O.S.)
운송에서의 위험성 등급: 3
용기등급: Ⅰ
해양오염물질: 자료없음
화재시 비상조치: F-E
유출시 비상조치: S-D",0.984615,0.964520,False
run-1,001751,5,"적절한(부적절한) 소화제: 이 물질과 관련된 소화시 알콜 포말, 이산화탄소 또는 물분무를 사용할 것|질식소화시 건조한 모래 또는 흙을 사용할 것
화학물질로부터 생기는 특정 유해성: 인화성 액체 및 증기|격렬하게 중합반응하여 화재와 폭발을 일으킬 수 있음|증기는 점화원에 옮겨져 발화될 수 있음|인화점이나 그 이상에서 폭발성 혼합물을 형성할 수 있음|가열시 용기가 폭발할 수 있음|고인화성: 열, 스파크, 화염에 의해 쉽게 점화됨|누출물은 화재/폭발 위험이 있음|실내, 실외, 하수구에서 증기 폭발 위험이 있음|증기는 공기와 폭발성 혼합물을 형성할 수 있음|화재시 자극성, 부식성, 독성 가스를 발생할 수 있음
화재진압시 착용할 보호구 및 예방조치: 구조자는 적절한 보호구를 착용하시오.|지역을 벗어나 안전거리를 유지하여 소화하시오|대부분 물보다 가벼우니 주의하시오|대부분의 증기는 공기보다 무겁기 때문에 지면을 따라 확산하고 저지대나 밀폐공간에 축적될 수 있음|뜨거운 상태로 운반될 수 있으니 주의하시오|위험하지 않다면 화재지역에서 용기를 옮기시오|탱크 화재시 최대거리에서 소화하거나 무인 소화장비를 이용하시오|탱크 화재시 소화가 진화된 후에도 다량의 물로 용기를 식히시오|탱크 화재시 압력 방출장치에서 고음이 있거나 탱크가 변색할 경우 즉시 물러나시오|탱크 화재시 화염에 휩싸인 탱크에서 물러나시오|탱크 화재시 대규모 화재의 경우 무인 소화장비를 이용하고 불가능하다면 물러나 타게 놔두시오","적절한(부적절한) 소화제: 이 물질과 관련된 소화시 알콜 포말, 이산화탄소 또는 물분무를 사용할 것|질식소화시 건조한 모래 또는 흙을 사용할 것
화학물질로부터 생기는 특정 유해성: 인화성 액체 및 증기|격렬하게 중합반응하여 화재와 폭발을 일으킬 수 있음|증기는 점화원에 옮겨져 발화될 수 있음|인화점이나 그 이상에서 폭발성 혼합물을 형성할 수 있음|가열시 용기가 폭발할 수 있음|고인화성: 열, 스파크, 화염에 의해 쉽게 점화됨|누출물은 화재/폭발 위험이 있음|실내, 실외, 하수구에서 증기 폭발 위험이 있음|증기는 공기와 폭발성 혼합물을 형성할 수 있음|화재시 자극성, 부식성, 독성 가스를 발생할 수 있음
화재진압시 착용할 보호구 및 예방조치: 구조자는 적절한 보호구를 착용하시오.|지역을 벗어나 안전거리를 유지하여 소화하시오|대부분 물보다 가벼우니 주의하시오|대부분의 증기는 공기보다 무겁기 때문에 지면을 따라 확산하고 저지대나 밀폐공간에 축적될 수 있음|뜨거운 상태로 운반될 수 있으니 주의하시오|위험하지 않다면 화재지역에서 용기를 옮기시오|탱크 화재시 최대거리에서 소화하거나 무인 소화장비를 이용하시오|탱크 화재시 소화가 진화된 후에도 다량의 물로 용기를 식히시오|탱크 화재시 압력 방출장치에서 고음이 있거나 탱크가 변색할 경우 즉시 물러나시오|탱크 화재시 화염에 휩싸인 탱크에서 물러나시오|탱크 화재시 대규모 화재의 경우 무인 소화장비를 이용하고 불가능하다면 물러나 타게 놔두시오",1.000000,1.000000,True
run-1,019765,10,"화학적 안정성 및 유해 반응의 가능성: 자료없음
피해야 할 조건: 자료없음
피해야 할 물질: 자료없음
분해시 생성되는 유해물질: 자료없음","화학적 안정성 및 유해 반응의 가능성: 자료없음
피해야 할 조건: 자료없음
피해야 할 물질: 자료없음
분해시 생성되는 유해물질: 자료없음",1.000000,1.000000,True
run-1,017653,14,"유엔번호(UN No.): UN 운송위험물질 분류정보가 없음
적정선적명: 해당없음
운송에서의 위험성 등급: 해당없음
용기등급: 해당없음
해양오염물질: 자료없음
화재시 비상조치: 해당없음
유출시 비상조치: 해당없음","유엔번호(UN No.): UN 운송위험물질 분류정보가 없음
적정선적명: 해당없음
운송에서의 위험성 등급: 해당없음
용기등급: 해당없음
해양오염물질: 자료없음
화재시 비상조치: 해당없음
유출시 비상조치: 해당없음",1.000000,1.000000,True
run-1,016084,15,"산업안전보건법에 의한 규제: 해당없음
화학물질관리법에 의한 규제: 해당없음
화학물질의 등록 및 평가 등에 관한 법률 규제: 기존화학물질
위험물안전관리법에 의한 규제: 해당없음(비위험물)
폐기물관리법에 의한 규제: 해당없음
국내규제: 해당없음
기타 국내 규제: 해당없음
미국관리정보(OSHA 규정): 해당없음
미국관리정보(CERCLA 규정): 해당없음
미국관리정보(EPCRA 302 규정): 해당없음
미국관리정보(EPCRA 304 규정): 해당없음
미국관리정보(EPCRA 313 규정): 해당없음
미국관리정보(로테르담협약물질): 해당없음
미국관리정보(스톡홀름협약물질): 해당없음
미국관리정보(몬트리올의정서물질): 해당없음
EU 분류정보(확정분류결과): 해당없음
EU 분류정보(위험문구): 해당없음
EU 분류정보(안전문구): 해당없음","산업안전보건법에 의한 규제: 해당없음
화학물질관리법에 의한 규제: 해당없음
화학물질의 등록 및 평가 등에 관한 법률 규제: 기존화학물질
위험물안전관리법에 의한 규제: 해당없음(비위험물)
폐기물관리법에 의한 규제: 해당없음
국내규제: 해당없음
기타 국내 규제: 해당없음
미국관리정보(OSHA 규정): 해당없음
미국관리정보(CERCLA 규정): 해당없음
미국관리정보(EPCRA 302 규정): 해당없음
미국관리정보(EPCRA 304 규정): 해당없음
미국관리정보(EPCRA 313 규정): 해당없음
미국관리정보(로테르담협약물질): 해당없음
미국관리정보(스톡홀름협약물질): 해당없음
미국관리정보(몬트리올의정서물질): 해당없음
EU 분류정보(확정분류결과): 해당없음
EU 분류정보(위험문구): 해당없음
EU 분류정보(안전문구): 해당없음",1.000000,1.000000,True
run-1,009995,1,"제품명: 4-펜틸벤조일 염화물(4-PENTYLBENZOYL CHLORIDE)
제품의 권고 용도: 자료없음
제품의 사용상의 제한: 자료없음
회사명: 자료없음
주소: 자료없음
긴급전화번호: 자료없음","제품명: 4-펜틸벤조일 염화물(4)PENTYLBENZOYL CHLORIDE)
제품의 권고 용도: 자료없음
제품의 사용상의 제한: 자료없음
회사명: 자료없음
주소: 자료없음
긴급전화번호: 자료없음",0.990741,0.966554,False
run-1,007407,8,"국내규정: |자료없음
ACGIH 규정: 자료없음
생물학적 노출기준: 자료없음
기타 노출기준: 자료없음
적절한 공학적 관리: 자료없음
호흡기 보호: |노출되는 물질의 물리화학적 특성에 맞는 산업안전보건공단의 인증을 필한 호흡용 보호구를 착용 하시오|-안면부 여과식 방진마스크 또는 공기여과식 방진마스크(고효율미립자여과재)또는 전동팬 부착 방진마스크(분진, 미스트, 흄용 여과재)|기체/액체물질의 경우 다음과 같은 호흡기 보호구가 권고됨 
-격리식 전면형 방독마스크(유기화합물용(산성가스인 경우 산성가스용)) 또는 격리식 반면형 방독마스크(유기화합물용(산성가스인 경우 산성가스용)) 또는 직결식 전면형 방독 마스크(유기화합물용(산성가스인 경우 산성가스용)) 또는 반면형 방독 마스크(유기화합물용(산성가스인 경우 산성가스용)) 또는 전동식 방독마스크|산소가 부족한 경우(&amp;lt;19.6%), 송기마스크, 혹은 자급식 호흡보호구를 착용하시오
눈 보호: 자료없음
손 보호: 자료없음
신체 보호: 자료없음","국내규정: |자료없음
ACGIH 규정: 자료없음
생물학적 노출기준: 자료없음
기타 노출기준: 자료없음
적절한 공학적 관리: 자료없음
호흡기 보호: |노출되는 물질의 물리화학적 특성에 맞는 산업안전보건공단의 인증을 필한 호흡용 보호구를 착용 하시오|(안면부 여과식 방진마스크 또는 공기여과식 방진마스크)고효율미립자여과재(또는 전동팬 부착 방진마스크)분진, 미스트, 흄용 여과재-|기체/액체물질의 경우 다음과 같은 호흡기 보호구가 권고됨 
(격리식 전면형 방독마스크)유기화합물용(산성가스인 경우 산성가스용-- 또는 격리식 반면형 방독마스크)유기화합물용(산성가스인 경우 산성가스용-- 또는 직결식 전면형 방독 마스크)유기화합물용(산성가스인 경우 산성가스용-- 또는 반면형 방독 마스크)유기화합물용(산성가스인 경우 산성가스용-- 또는 전동식 방독마스크|산소가 부족한 경우)&amp;lt;19.6%-, 송기마스크, 혹은 자급식 호흡보호구를 착용하시오
눈 보호: 자료없음
손 보호: 자료없음
신체 보호: 자료없음",0.960317,0.884140,False
run-1,046704,10,"화학적 안정성 및 유해 반응의 가능성: 자료없음
피해야 할 조건: 자료없음
피해야 할 물질: 자료없음
분해시 생성되는 유해물질: 자료없음","화학적 안정성 및 유해 반응의 가능성: 자료없음
피해야 할 조건: 자료없음
피해야 할 물질: 자료없음
분해시 생성되는 유해물질: 자료없음",1.000000,1.000000,True
run-1,037774,10,"화학적 안정성 및 유해 반응의 가능성: 고온에서 분해되어 독성가스를 생성할 수 있음
가열시 용기가 폭발할 수 있음
일부는 탈 수 있으나 쉽게 점화하지 않음
비인화성, 물질 자체는 타지 않으나 가열시 분해하여 부식성/독성 흄을 발생할 수 있음
피해야 할 조건: 열, 스파크, 화염 등 점화원
피해야 할 물질: 가연성 물질, 환원성 물질
분해시 생성되는 유해물질: 부식성/독성 흄
자극성, 독성 가스
자극성, 부식성, 독성 가스","화학적 안정성 및 유해 반응의 가능성: 고온에서 분해되어 독성가스를 생성할 수 있음
가열시 용기가 폭발할 수 있음
일부는 탈 수 있으나 쉽게 점화하지 않음
비인화성, 물질 자체는 타지 않으나 가열시 분해하여 부식성/독성 흄을 발생할 수 있음
피해야 할 조건: 열, 스파크, 화염 등 점화원
피해야 할 물질: 가연성 물질, 환원성 물질
분해시 생성되는 유해물질: 부식성/독성 흄
자극성, 독성 가스
자극성, 부식성, 독성 가스",1.000000,1.000000,True
