id,category,source_text,roundtrip_text,sim_edit,sim_chrf
ko_001,basic,이것은 간단한 문장입니다.,go@s'g?: @<:i<:j<: em:.<?gobcoi<.,0.0909,0.0281
ko_002,basic,오늘 날씨가 참 좋습니다.,"guc?? c<?,O@< ;<, .u"",?bcoi<.",0.1379,0.0392
ko_003,basic,그녀는 점심 후에 공원으로 걸어갔다.,"@?c:c?: .s,O, jmgn @u?gp:g?""u @s?gs@</i<.",0.122,0.0344
ko_004,basic,도서관이 어디에 있는지 아시나요?,"iuS@v:go gsiogn go/c?:.o g<Oc<g+""",0.0909,0.0317
ko_005,basic,나가기 전에 불을 꺼 주세요.,"c<@<@o .s:gn ?m?g?? ,@s .mNg+.",0.1667,0.0443
ko_006,basic,그는 정오까지 도착하겠다고 말했다.,"@?c?: .s?gu,@<.o iu;<aj<@n/i<@u e<?jr/i<.",0.0976,0.0285
ko_007,number,회의는 2026년 4월 6일 오후 3시 45분에 시작합니다.,jygwc?: 20263:: 47p? 67o? gujm 3O 45?m:gn O.<aj<bcoi<.,0.3148,0.1513
ko_008,number,이번 학기에 등록한 학생 수는 1234명입니다.,"go?s: j<a@ogn i??""uaj<: j<aR? Mc?: 12345:?gobcoi<.",0.2,0.1121
ko_009,number,물과 시멘트의 비율은 0.45 대 1입니다.,em?@v Oen:h?gw ?og%?g?: 0.45 ir 17obcoi<.,0.2683,0.1732
ko_010,number,자세한 내용은 02-555-1234로 전화해 주세요.,".<Nj<: crg+?g?: 02-555-1234""u .s:jvjr .mNg+.",0.3636,0.3406
ko_011,number,이 소포의 무게는 12.5킬로그램이고 가격은 39000원입니다.,"go Udugw em@nc?: 12.56o?""u@?""r,go@u @<@:ag?: 390007p:gobcoi<.",0.2459,0.172
ko_012,number,제7장 3.2절은 유체역학을 다룹니다.,".n7.<? 3.2.s?g?: g%;ng:aj<ag?? i<""mbcoi<.",0.1951,0.0962
ko_013,number,401B호는 4층에 있습니다.,"401""Bjuc?: 4??gn go/,?bcoi<.",0.2857,0.1114
ko_014,list,"다음 물품이 필요합니다: 연필, 지우개, 자, 컴퍼스.","i<g?, em?dm,go do?g+j<bcoi<""? g::do?"" .ogm@r"" .<"" fs,ds,?.",0.1207,0.0563
ko_015,list,1단계: 밸브를 연다. 2단계: 압력을 확인한다. 3단계: 수치를 기록한다.,"19<:@/""? ?r???""?? g::i<. 29<:@/""? g<b"":ag?? jvago:j<:i<. 39<:@/""? M;o""?? @o""uaj<:i<.",0.2024,0.0766
ko_016,list,"선택지는 다음과 같다: (가) 빨강, (나) 파랑, (다) 초록, (라) 노랑.","S:hra.oc?: i<g?,@v @<""i<""? -@<- ,?<?@<?"" -c<- d<""<?"" -i<- ;u""ua"" -""<- cu""<?.",0.1447,0.0497
ko_017,list,"첫째 재료를 모으고, 둘째 용액을 준비하고, 셋째 실험을 실시한다.",";s',.r .r""+""?? eug?@u"" im?,.r g+?grag?? .m:?oj<@u"" N',.r O?js,g?? O?Oj<:i<.",0.12,0.0411
ko_018,list,"재료: 밀가루 200그램, 우유 100밀리리터, 달걀 2개, 소금 약간.",".r""+""? eo?@<""m 200@?""r,"" gmg% 1005o?""o""ohs"" i<?@>? 2@r"" U@?, g>a@<:.",0.25,0.1225
ko_019,quote,"그는 속삭였다. ""정말 확실해?""","@?c?: Ua,<ag:/i<. "".s?e<? jvaO?jr""""",0.2,0.0795
ko_020,quote,"""기계 학습""이라는 용어는 1959년 아서 새뮤얼이 만들었다.","""@o@/ j<a,?b""go""<c?: g+?gsc?: 19593:: g<S Re%gs?go e<:i??gs/i<.",0.2063,0.0986
ko_021,quote,"그녀는 살짝 미소를 지으며 대답했다. ""물론이지.""","@?c:c?: ,<?,.<a eoU""?? .og?e: iri<bjr/i<. ""em?""u:go.o.""",0.1636,0.0657
ko_022,quote,"소위 ""모범 사례""가 항상 최선은 아니다.","Ugmr ""eu?s, ,<""/""@< j<?,<? ;yS:g?: g<coi<.",0.1905,0.0562
ko_023,quote,매뉴얼에 따르면 -- 42쪽 -- 한도는 500개입니다.,"erc%gs?gn I<""?e:: -- 42,.ua -- j<:iuc?: 500@rgobcoi<.",0.3019,0.2104
ko_024,math,"x 제곱이 4라면, x는 2 또는 마이너스 2입니다.","""x .n@ubgo 4""<e::"" ""xc?: 2 Iuc?: e<gocs,? 27obcoi<.",0.2549,0.1009
ko_025,math,원의 넓이는 파이 곱하기 반지름의 제곱입니다.,"gp:gw cs?bgoc?: d<go @ubj<@o ?<:.o""?,gw .n@ubgobcoi<.",0.1132,0.0327
ko_026,math,y에 대해 풀어라: 3y 더하기 7은 22이다.,"""ygn irjr dm?gs""<""? 3""y isj<@o 77?: 227oi<.",0.3023,0.1207
ko_027,math,삼각형의 내각의 합은 180도입니다.,",<,@<aj:?gw cr@<agw j<bg?: 1809ugobcoi<.",0.175,0.0935
ko_028,math,"f(x) = 2x + 1일 때, f(3)을 구하시오.","""f-""x- = 2""x + 17o? Ir"" ""f-3-g?? @mj<Ogu.",0.4146,0.1806
ko_029,math,x 제곱을 0에서 1까지 적분하면 3분의 1이다.,"""x .n@ubg?? 07nS 1,@<.o .sa?m:j<e:: 3?m:gw 17oi<.",0.2449,0.0911
ko_030,domain,반응기 온도는 섭씨 20도에서 25도 사이를 유지해야 합니다.,"?<:g??@o gu:iuc?: Sb,O 209ugnS 259u ,<go""?? g%.ojrg> j<bcoi<.",0.1967,0.077
ko_031,domain,염화나트륨(NaCl)은 물에 잘 녹는다.,"g:,jvc<h?""%,-""NaCl-g?: em?gn .<? cuac?:i<.",0.1905,0.0924
ko_032,domain,이 CPU는 64비트 명령어 집합 아키텍처를 사용합니다.,"go ""CPUc?: 64?oh? e:?"":?gs .obj<b g<fohna;s""?? ,<g+?j<bcoi<.",0.2,0.0826
ko_033,domain,환자에게 아목시실린 500밀리그램을 하루 두 번 투여하였다.,"jv:.<gn@n g<euaOO?""o: 5005o?""o@?""r,g?? j<""m im ?s: hmg:j<g:/i<.",0.1587,0.0695
ko_034,domain,A36 강재의 항복 강도는 약 250메가파스칼입니다.,"""A36 @<?.rgw j<??ua @<?iuc?: g>a 2505n@<d<,?f<?gobcoi<.",0.2182,0.12
ko_035,domain,중합효소 연쇄 반응(PCR)은 DNA 조각을 증폭합니다.,".m?j<bj+U g::Vr ?<:g??-""PCR-g?: ""DNA .u@<ag?? .??duaj<bcoi<.",0.2,0.0969
ko_036,domain,레이놀즈 수는 흐름이 층류인지 난류인지를 결정합니다.,"""ngocu?.? Mc?: j?""?,go ;??""%go:.o c<:""%go:.o""?? @:?.s?j<bcoi<.",0.0968,0.0281
ko_037,domain,HTTP 상태 코드 404는 리소스를 찾을 수 없음을 의미합니다.,"""HTTP ,<?hr fui? 4043?: ""oU,?""?? ;<kg?? M gsb'g?,g?? gweoj<bcoi<.",0.2462,0.1306
ko_038,domain,벤젠(C6H6)은 방향족 탄화수소입니다.,"?n:.n:-""C6""H6-g?: ?<?j>?.ua h<:jvMUgobcoi<.",0.1628,0.0578
ko_039,domain,컴파일러는 구문 분석 과정에서 추상 구문 트리(AST)를 생성합니다.,"fs,d<go?""sc?: @mem: ?m:Sa @v.s?gnS ;m,<? @mem: h?""o-""AST-""?? R?S?j<bcoi<.",0.1507,0.0522
ko_040,basic,다음 기차는 몇 시에 출발합니까?,"i<g?, @o;<c?: e:? Ogn ;m??<?j<bco,@<""",0.1351,0.0382
ko_041,basic,나는 그런 것을 전에 한 번도 본 적이 없다.,"c<c?: @?""s: @s'g?? .s:gn j<: ?s:iu ?u: .sago gsb'i<.",0.1731,0.0493
ko_042,basic,그들은 추후 공지가 있을 때까지 행사를 연기하기로 했다.,"@?i??g?: ;mjm @u?.o@< go/g?? Ir,@<.o jr?,<""?? g::@oj<@o""u jr/i<.",0.125,0.0355
ko_043,number,2019년부터 2023년까지 매출은 47.3퍼센트 증가했다.,"20193::?mhs 20233::,@<.o er;m?g?: 47.34sN:h? .??@<jr/i<.",0.3036,0.1969
ko_044,number,서버 응답 시간은 평균 12.8밀리초였습니다.,"S?s g??i<b O@<:g?: d:?@%: 12.85o?""o;ug:/,?bcoi<.",0.1875,0.1112
ko_045,list,다음 예외 사항에 유의하시오: 별표(*)가 표시된 항목은 선택 사항입니다.,"i<g?, g/gy ,<j<?gn g%gwj<Ogu""? ?:?d+-*-@< d+Oiy: j<?euag?: S:hra ,<j<?gobcoi<.",0.1282,0.0414
