id,source_text,category
ko_001,"이것은 간단한 문장입니다.",basic
ko_002,"오늘 날씨가 참 좋습니다.",basic
ko_003,"그녀는 점심 후에 공원으로 걸어갔다.",basic
ko_004,"도서관이 어디에 있는지 아시나요?",basic
ko_005,"나가기 전에 불을 꺼 주세요.",basic
ko_006,"그는 정오까지 도착하겠다고 말했다.",basic
ko_007,"회의는 2026년 4월 6일 오후 3시 45분에 시작합니다.",number
ko_008,"이번 학기에 등록한 학생 수는 1234명입니다.",number
ko_009,"물과 시멘트의 비율은 0.45 대 1입니다.",number
ko_010,"자세한 내용은 02-555-1234로 전화해 주세요.",number
ko_011,"이 소포의 무게는 12.5킬로그램이고 가격은 39000원입니다.",number
ko_012,"제7장 3.2절은 유체역학을 다룹니다.",number
ko_013,"401B호는 4층에 있습니다.",number
ko_014,"다음 물품이 필요합니다: 연필, 지우개, 자, 컴퍼스.",list
ko_015,"1단계: 밸브를 연다. 2단계: 압력을 확인한다. 3단계: 수치를 기록한다.",list
ko_016,"선택지는 다음과 같다: (가) 빨강, (나) 파랑, (다) 초록, (라) 노랑.",list
ko_017,"첫째 재료를 모으고, 둘째 용액을 준비하고, 셋째 실험을 실시한다.",list
ko_018,"재료: 밀가루 200그램, 우유 100밀리리터, 달걀 2개, 소금 약간.",list
ko_019,"그는 속삭였다. ""정말 확실해?""",quote
ko_020,"""기계 학습""이라는 용어는 1959년 아서 새뮤얼이 만들었다.",quote
ko_021,"그녀는 살짝 미소를 지으며 대답했다. ""물론이지.""",quote
ko_022,"소위 ""모범 사례""가 항상 최선은 아니다.",quote
ko_023,"매뉴얼에 따르면 -- 42쪽 -- 한도는 500개입니다.",quote
ko_024,"x 제곱이 4라면, x는 2 또는 마이너스 2입니다.",math
ko_025,"원의 넓이는 파이 곱하기 반지름의 제곱입니다.",math
ko_026,"y에 대해 풀어라: 3y 더하기 7은 22이다.",math
ko_027,"삼각형의 내각의 합은 180도입니다.",math
ko_028,"f(x) = 2x + 1일 때, f(3)을 구하시오.",math
ko_029,"x 제곱을 0에서 1까지 적분하면 3분의 1이다.",math
ko_030,"반응기 온도는 섭씨 20도에서 25도 사이를 유지해야 합니다.",domain
ko_031,"염화나트륨(NaCl)은 물에 잘 녹는다.",domain
ko_032,"이 CPU는 64비트 명령어 집합 아키텍처를 사용합니다.",domain
ko_033,"환자에게 아목시실린 500밀리그램을 하루 두 번 투여하였다.",domain
ko_034,"A36 강재의 항복 강도는 약 250메가파스칼입니다.",domain
ko_035,"중합효소 연쇄 반응(PCR)은 DNA 조각을 증폭합니다.",domain
ko_036,"레이놀즈 수는 흐름이 층류인지 난류인지를 결정합니다.",domain
ko_037,"HTTP 상태 코드 404는 리소스를 찾을 수 없음을 의미합니다.",domain
ko_038,"벤젠(C6H6)은 방향족 탄화수소입니다.",domain
ko_039,"컴파일러는 구문 분석 과정에서 추상 구문 트리(AST)를 생성합니다.",domain
ko_040,"다음 기차는 몇 시에 출발합니까?",basic
ko_041,"나는 그런 것을 전에 한 번도 본 적이 없다.",basic
ko_042,"그들은 추후 공지가 있을 때까지 행사를 연기하기로 했다.",basic
ko_043,"2019년부터 2023년까지 매출은 47.3퍼센트 증가했다.",number
ko_044,"서버 응답 시간은 평균 12.8밀리초였습니다.",number
ko_045,"다음 예외 사항에 유의하시오: 별표(*)가 표시된 항목은 선택 사항입니다.",list
