id,clean_en,noisy_en,noise_type,corrected_en
lu_0001,7/11/59,7_/11_/59,ueb_g2_decode,7_/11_/59
lu_0002,7.11.59,74aa4ei,ueb_g2_decode,74aa4ei
lu_0003,1960's,1960's,ueb_g2_decode,1960's
lu_0004,'70s and '80s,'70s & '80s,ueb_g2_decode,'70s & '80s
lu_0005,10:30 a.m.,10330 a4m4,ueb_g2_decode,10330 a4m4
lu_0006,10.30 am,104cj am,ueb_g2_decode,104cj am
lu_0007,$8.75,`s84ge,ueb_g2_decode,`s84ge
lu_0008,£8.75,`l84ge,ueb_g2_decode,`l84ge
lu_0009,"R8,75",R81ge,ueb_g2_decode,R81ge
lu_0010,"$1,500.00",`s11ejj4jj,ueb_g2_decode,`s11ejj4jj
lu_0011,"€1.500,00",`e14ejj1jj,ueb_g2_decode,`e14ejj1jj
lu_0012,M4G 3E8,M4G 3E8,ueb_g2_decode,M4G 3E8
lu_0013,W1N 9LF,"W1N 9,Lf",ueb_g2_decode,"W1N 9,Lf"
lu_0014,N12 7BT,"N12 7,Bt",ueb_g2_decode,"N12 7,Bt"
lu_0015,(416) 486-2500,"""<416""> 486-2500",ueb_g2_decode,"""<416""> 486-2500"
lu_0016,For a taxi call 13-cabs.,",= a taxi call 13-cabs4",ueb_g2_decode,",= a taxi call 13-cabs4"
lu_0017,telephone 1300-vision,"teleph""o 1300-vi.n",ueb_g2_decode,"teleph""o 1300-vi.n"
lu_0018,1-800-SLEEP88,"1-800-,Sleep88",ueb_g2_decode,"1-800-,Sleep88"
lu_0019,ISBN 0-14-300414-X,",Isbn 0-14-300414-;X",ueb_g2_decode,",Isbn 0-14-300414-;X"
lu_0020,Section I. 1,Sec;n I4 1,ueb_g2_decode,Sec;n I4 1
lu_0021,Section I.1,Sec;n I41,ueb_g2_decode,Sec;n I41
lu_0022,"Section I, 1",Sec;n I1 1,ueb_g2_decode,Sec;n I1 1
lu_0023,"Section I,1",Sec;n I11,ueb_g2_decode,Sec;n I11
lu_0024,Section II. 2,"Sec;n ,Ii4 2",ueb_g2_decode,"Sec;n ,Ii4 2"
lu_0025,Section III.2,"Sec;n ,Iii42",ueb_g2_decode,"Sec;n ,Iii42"
lu_0026,"Section II, 3","Sec;n ,Ii1 3",ueb_g2_decode,"Sec;n ,Ii1 3"
lu_0027,"Section III,3","Sec;n ,Iii13",ueb_g2_decode,"Sec;n ,Iii13"
lu_0028,"(x, 4)","""<;x1 4"">",ueb_g2_decode,"""<;x1 4"">"
lu_0029,"(x,4)","""<x14"">",ueb_g2_decode,"""<x14"">"
lu_0030,ABC DEFG HIJ,",,Abc defg hij,'",ueb_g2_decode,",,Abc defg hij,'"
lu_0031,ABC 456G HIJ,",,Abc 456;g hij,'",ueb_g2_decode,",,Abc 456;g hij,'"
lu_0032,ABC 45FG HIJ,",,Abc 45;fg hij,'",ueb_g2_decode,",,Abc 45;fg hij,'"
lu_0033,ABC 4EFG HIJ,",,Abc 4;efg hij,'",ueb_g2_decode,",,Abc 4;efg hij,'"
lu_0034,AB123456G DWP CR,",,Ab123456;g dwp cr,'",ueb_g2_decode,",,Ab123456;g dwp cr,'"
lu_0035,B.C.,B4C4,ueb_g2_decode,B4C4
lu_0036,Hush. Keep Quiet!,Hu%4 Keep Quiet6,ueb_g2_decode,Hu%4 Keep Quiet6
