id,category,source_text,roundtrip_text,sim_edit,sim_chrf
en_001,basic,This is a simple sentence.,This is a simple sentence.,1.0,1.0
en_002,basic,The weather is nice today.,The weather is nice today.,1.0,1.0
en_003,basic,She walked to the park after lunch.,She walked to the park after lunch.,1.0,1.0
en_004,basic,Do you know where the library is?,Do you know where the library is?,1.0,1.0
en_005,basic,Please turn off the lights before you leave.,Please turn off the lights before you leave.,1.0,1.0
en_006,basic,He said that he would arrive by noon.,He said that he would arrive by noon.,1.0,1.0
en_007,number,"The meeting starts at 3:45 p.m. on April 6, 2026.","The meeting starts at 3:45 p.m. on April 6, 2026.",1.0,1.0
en_008,number,"There are 1,234 students enrolled this semester.","There are 1,234 students enrolled this semester.",1.0,1.0
en_009,number,The ratio of water to cement is 0.45 to 1.,The ratio of water to cement is 0.45 to 1.,1.0,1.0
en_010,number,Call me at 02-555-1234 for more details.,Call me at 02-555-1234 for more details.,1.0,1.0
en_011,number,The package weighs 12.5 kg and costs $39.99.,The package weighs 12.5 kg and costs $39.99.,1.0,1.0
en_012,number,"Chapter 7, Section 3.2 covers fluid dynamics.","Chapter 7, Section 3.2 covers fluid dynamics.",1.0,1.0
en_013,number,Room 401B is on the 4th floor.,Room 401B is on the 4th floor.,1.0,1.0
en_014,list,"The following items are required: pencil, eraser, ruler, and compass.","The following items are required: pencil, eraser, ruler, and compass.",1.0,1.0
en_015,list,Step 1: Open the valve. Step 2: Check the pressure. Step 3: Record the reading.,Step 1: Open the valve. Step 2: Check the pressure. Step 3: Record the reading.,1.0,1.0
en_016,list,"Options include: (a) red, (b) blue, (c) green, and (d) yellow.","Options include: (a) red, (b) blue, (c) green, and (d) yellow.",1.0,1.0
en_017,list,"First, gather the materials; second, prepare the solution; third, run the test.","First, gather the materials; second, prepare the solution; third, run the test.",1.0,1.0
en_018,list,"Ingredients: 200g flour, 100ml milk, 2 eggs, and a pinch of salt.","Ingredients: 200g flour, 100ml milk, 2 eggs, and a pinch of salt.",1.0,1.0
en_019,quote,"He whispered, ""Are you sure about this?""","He whispered, ""Are you sure about this?""",1.0,1.0
en_020,quote,"The term ""machine learning"" was coined by Arthur Samuel in 1959.","The term ""machine learning"" was coined by Arthur Samuel in 1959.",1.0,1.0
en_021,quote,"She replied (with a slight smile), ""Of course.""","She replied (with a slight smile), ""Of course.""",1.0,1.0
en_022,quote,"The so-called ""best practice"" is not always the best.","The so-called ""best practice"" is not always the best.",1.0,1.0
en_023,quote,According to the manual -- page 42 -- the limit is 500 units.,According to the manual -- page 42 -- the limit is 500 units.,1.0,1.0
en_024,math,"If x squared equals 4, then x is either 2 or negative 2.","If x squared equals 4, then x is either 2 or negative 2.",1.0,1.0
en_025,math,The area of a circle is pi times r squared.,The area of a circle is pi times r squared.,1.0,1.0
en_026,math,Solve for y: 3y + 7 = 22.,Solve for y: 3y + 7 = 22.,1.0,1.0
en_027,math,The sum of angles in a triangle is 180 degrees.,The sum of angles in a triangle is 180 degrees.,1.0,1.0
en_028,math,"Given f(x) = 2x + 1, find f(3).","Given f(x) = 2x + 1, find f(3).",1.0,1.0
en_029,math,The integral of x squared from 0 to 1 is one third.,The integral of x squared from 0 to 1 is one third.,1.0,1.0
en_030,domain,The temperature ranges from 20 degrees C to 25 degrees C in the reactor.,The temperature ranges from 20 degrees C to 25 degrees C in the reactor.,1.0,1.0
en_031,domain,Sodium chloride (NaCl) dissolves readily in water.,Sodium chloride (NaCl) dissolves readily in water.,1.0,1.0
en_032,domain,The CPU utilizes a 64-bit instruction set architecture.,The CPU utilizes a 64-bit instruction set architecture.,1.0,1.0
en_033,domain,The patient was administered 500 mg of amoxicillin twice daily.,The patient was administered 500 mg of amoxicillin twice daily.,1.0,1.0
en_034,domain,The yield strength of A36 steel is approximately 250 MPa.,The yield strength of A36 steel is approximately 250 MPa.,1.0,1.0
en_035,domain,Polymerase chain reaction (PCR) amplifies DNA segments.,Polymerase chain reaction (PCR) amplifies DNA segments.,1.0,1.0
en_036,domain,The Reynolds number determines whether flow is laminar or turbulent.,The Reynolds number determines whether flow is laminar or turbulent.,1.0,1.0
en_037,domain,The HTTP status code 404 means the resource was not found.,The HTTP status code 404 means the resource was not found.,1.0,1.0
en_038,domain,Benzene (C6H6) is an aromatic hydrocarbon.,Benzene (C6H6) is an aromatic hydrocarbon.,1.0,1.0
en_039,domain,The compiler generates an abstract syntax tree (AST) during parsing.,The compiler generates an abstract syntax tree (AST) during parsing.,1.0,1.0
en_040,basic,What time does the next train depart?,What time does the next train depart?,1.0,1.0
en_041,basic,I have never seen anything like it before.,I have never seen anything like it before.,1.0,1.0
en_042,basic,They decided to postpone the event until further notice.,They decided to postpone the event until further notice.,1.0,1.0
en_043,number,"Between 2019 and 2023, revenue grew by 47.3 percent.","Between 2019 and 2023, revenue grew by 47.3 percent.",1.0,1.0
en_044,number,The server responded in 12.8 milliseconds on average.,The server responded in 12.8 milliseconds on average.,1.0,1.0
en_045,list,Note the following exceptions: items marked with an asterisk (*) are optional.,Note the following exceptions: items marked with an asterisk (*) are optional.,1.0,1.0
