lang,suite,decoder,id,category,source_text,roundtrip_text,sim_edit,sim_chrf
ko,korean_roundtrip,pipeline.ko_braille_decoder.decode_korean_braille,ko_001,basic,이것은 간단한 문장입니다.,이것은 간단한 문장입니다.,1.000000,1.000000
ko,korean_roundtrip,pipeline.ko_braille_decoder.decode_korean_braille,ko_002,basic,오늘 날씨가 참 좋습니다.,오늘 날씨가 참 좋습니다.,1.000000,1.000000
ko,korean_roundtrip,pipeline.ko_braille_decoder.decode_korean_braille,ko_003,basic,그녀는 점심 후에 공원으로 걸어갔다.,그녀는 점심 후에 공원으로 걸어갔다.,1.000000,1.000000
ko,korean_roundtrip,pipeline.ko_braille_decoder.decode_korean_braille,ko_004,basic,도서관이 어디에 있는지 아시나요?,도서관이 어디에 있는지 아시나요?,1.000000,1.000000
ko,korean_roundtrip,pipeline.ko_braille_decoder.decode_korean_braille,ko_005,basic,나가기 전에 불을 꺼 주세요.,나가기 전에 불을 꺼 주세요.,1.000000,1.000000
ko,korean_roundtrip,pipeline.ko_braille_decoder.decode_korean_braille,ko_006,basic,그는 정오까지 도착하겠다고 말했다.,그는 정오까지 도착하겠다고 말했다.,1.000000,1.000000
ko,korean_roundtrip,pipeline.ko_braille_decoder.decode_korean_braille,ko_007,number,회의는 2026년 4월 6일 오후 3시 45분에 시작합니다.,회의는 2026년 4월 6일 오후 3시 45분에 시작합니다.,1.000000,1.000000
ko,korean_roundtrip,pipeline.ko_braille_decoder.decode_korean_braille,ko_008,number,이번 학기에 등록한 학생 수는 1234명입니다.,이번 학기에 등록한 학생 수는 1234명입니다.,1.000000,1.000000
ko,korean_roundtrip,pipeline.ko_braille_decoder.decode_korean_braille,ko_009,number,물과 시멘트의 비율은 0.45 대 1입니다.,물과 시멘트의 비율은 0.45 대 1입니다.,1.000000,1.000000
ko,korean_roundtrip,pipeline.ko_braille_decoder.decode_korean_braille,ko_010,number,자세한 내용은 02-555-1234로 전화해 주세요.,자세한 내용은 02-555-1234로 전화해 주세요.,1.000000,1.000000
ko,korean_roundtrip,pipeline.ko_braille_decoder.decode_korean_braille,ko_011,number,이 소포의 무게는 12.5킬로그램이고 가격은 39000원입니다.,이 소포의 무게는 12.5킬로그램이고 가격은 39000원입니다.,1.000000,1.000000
ko,korean_roundtrip,pipeline.ko_braille_decoder.decode_korean_braille,ko_012,number,제7장 3.2절은 유체역학을 다룹니다.,제7장 3.2절은 유체역학을 다룹니다.,1.000000,1.000000
ko,korean_roundtrip,pipeline.ko_braille_decoder.decode_korean_braille,ko_013,number,401B호는 4층에 있습니다.,401B호는 4층에 있습니다.,1.000000,1.000000
ko,korean_roundtrip,pipeline.ko_braille_decoder.decode_korean_braille,ko_014,list,"다음 물품이 필요합니다: 연필, 지우개, 자, 컴퍼스.","다음 물품이 필요합니다: 연필, 지우개, 자, 컴퍼스.",1.000000,1.000000
ko,korean_roundtrip,pipeline.ko_braille_decoder.decode_korean_braille,ko_015,list,1단계: 밸브를 연다. 2단계: 압력을 확인한다. 3단계: 수치를 기록한다.,1단계: 밸브를 연다. 2단계: 압력을 확인한다. 3단계: 수치를 기록한다.,1.000000,1.000000
ko,korean_roundtrip,pipeline.ko_braille_decoder.decode_korean_braille,ko_016,list,"선택지는 다음과 같다: (가) 빨강, (나) 파랑, (다) 초록, (라) 노랑.","선택지는 다음과 같다: (가) 빨강, (나) 파랑, (다) 초록, (라) 노랑.",1.000000,1.000000
ko,korean_roundtrip,pipeline.ko_braille_decoder.decode_korean_braille,ko_017,list,"첫째 재료를 모으고, 둘째 용액을 준비하고, 셋째 실험을 실시한다.","첫째 재료를 모으고, 둘째 용액을 준비하고, 셋째 실험을 실시한다.",1.000000,1.000000
ko,korean_roundtrip,pipeline.ko_braille_decoder.decode_korean_braille,ko_018,list,"재료: 밀가루 200그램, 우유 100밀리리터, 달걀 2개, 소금 약간.","재료: 밀가루 200그램, 우유 100밀리리터, 달걀 2개, 소금 약간.",1.000000,1.000000
ko,korean_roundtrip,pipeline.ko_braille_decoder.decode_korean_braille,ko_019,quote,"그는 속삭였다. ""정말 확실해?""","그는 속삭였다. ""정말 확실해?""",1.000000,1.000000
ko,korean_roundtrip,pipeline.ko_braille_decoder.decode_korean_braille,ko_020,quote,"""기계 학습""이라는 용어는 1959년 아서 새뮤얼이 만들었다.","""기계 학습""이라는 용어는 1959년 아서 새뮤얼이 만들었다.",1.000000,1.000000
ko,korean_roundtrip,pipeline.ko_braille_decoder.decode_korean_braille,ko_021,quote,"그녀는 살짝 미소를 지으며 대답했다. ""물론이지.""","그녀는 살짝 미소를 지으며 대답했다. ""물론이지.""",1.000000,1.000000
ko,korean_roundtrip,pipeline.ko_braille_decoder.decode_korean_braille,ko_022,quote,"소위 ""모범 사례""가 항상 최선은 아니다.","소위 ""모범 사례""가 항상 최선은 아니다.",1.000000,1.000000
